Column_Name,Duplicate_Values_Percentage,NaN_Values_Percentage,Most_Frequent_Value,Section,Data_Type
http_version,100.00%,0.00%,1.1,H,numerical
id,0.00%,0.00%,JqmChn8W,H,categorical
layer_type,88.60%,0.33%,MULTI_LAYERED,H,categorical
local_ip,100.00%,0.00%,127.0.0.1,A,categorical
local_port,99.91%,0.00%,80,A,numerical
method,88.56%,0.00%,POST,H,categorical
reference,8.85%,10.64%,"o2,10o2,2o11,1v1147,23,v832,358",H,categorical
remote_ip,100.00%,0.00%,127.0.0.1,A,categorical
remote_port,5.00%,0.00%,35216,A,numerical
req_accept,99.33%,0.24%,*/*,B,categorical
req_accept_encoding,100.00%,0.00%,"gzip, br",B,categorical
req_accept_language,64.18%,91.14%,"en-US,en;q=0.9",B,categorical
req_access_control_request_headers,100.00%,99.73%,content-type,B,categorical
req_access_control_request_method,96.43%,99.72%,POST,B,categorical
req_alt_used,55.22%,99.67%,filkompedia.yogarn.my.id,B,categorical
req_authorization,46.15%,99.94%,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySWQiOiJmZWVmMjMxZS05MmRlLTQ4MjgtYjhmYy0yZGU3ZmQ1YmNmOGUiLCJleHAiOjE3NDY0NDUyNjZ9.5zkUp3Vngq8TIv4tbqJSUSmRfQLeT7NAxep1Hm7aeaA,B,categorical
req_baggage,57.14%,99.93%,"sentry-trace_id=53cb151c5e534f8bb31b1ca4bccfd6da,sentry-environment=production,sentry-public_key=8930f098b48b46e1acc7e64aff2b0562,sentry-transaction=spider,sentry-sample_rate=0.125,sentry-sampled=false",B,categorical
req_cache_control,95.38%,98.38%,no-cache,B,categorical
req_cdn_loop,100.00%,0.00%,cloudflare; loops=1,B,categorical
req_cf_connecting_ip,90.74%,0.00%,175.45.188.252,B,categorical
req_cf_ipcountry,98.97%,0.00%,ID,B,categorical
req_cf_ray,0.00%,0.00%,9462fd14cc79166a-HKG,B,categorical
req_cf_visitor,100.00%,0.00%,"{""scheme"":""https""}",B,categorical
req_cf_warp_tag_id,99.91%,0.00%,e160193c-8a1d-4420-98fe-5d1fe70c7585,B,categorical
req_connection,99.82%,0.00%,keep-alive,B,categorical
req_content_length,8.92%,11.40%,358.0,B,numerical
req_content_type,98.21%,11.36%,application/x-www-form-urlencoded; charset=utf-8,B,categorical
req_cookie,30.42%,8.61%,token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySWQiOiJmZWVmMjMxZS05MmRlLTQ4MjgtYjhmYy0yZGU3ZmQ1YmNmOGUiLCJleHAiOjE3NDY0OTg0MzR9.kVwF_XpVYxw1dvbooMxZwCFT7DftiwnaVtBJWOnv-T8; refresh_token=CweIwvdZSfpy2gQy4lKgrLVAE_A_wKoTNRek6cLUu68=,B,categorical
req_dnt,100.00%,99.59%,1.0,B,boolean
req_host,92.98%,0.00%,api-filkompedia.yogarn.my.id,B,categorical
req_if_none_match,2.83%,94.87%,"W/""79f6-EvZ8wy4kG78fc+eDqEKfXNRKEjM""",B,categorical
req_origin,100.00%,92.20%,https://filkompedia.yogarn.my.id,B,categorical
req_postman_token,1.92%,99.74%,482575c1-7572-4b6e-a67f-e58a477bb0d4,B,categorical
req_pragma,100.00%,99.82%,no-cache,B,categorical
req_priority,69.78%,93.10%,u=1,B,categorical
req_referer,36.25%,91.48%,https://filkompedia.yogarn.my.id/src/App.tsx,B,categorical
req_sec_ch_ua,93.93%,93.74%,"""Google Chrome"";v=""135"", ""Not-A.Brand"";v=""8"", ""Chromium"";v=""135""",B,categorical
req_sec_ch_ua_mobile,100.00%,93.74%,?0,B,categorical
req_sec_ch_ua_platform,100.00%,93.74%,"""Windows""",B,categorical
req_sec_fetch_dest,74.77%,91.28%,script,B,categorical
req_sec_fetch_mode,96.96%,91.28%,cors,B,categorical
req_sec_fetch_site,76.32%,91.28%,same-origin,B,categorical
req_sec_fetch_storage_access,100.00%,99.98%,active,B,categorical
req_sec_fetch_user,100.00%,99.79%,?1,B,categorical
req_sec_websocket_extensions,88.89%,99.82%,permessage-deflate; client_max_window_bits,B,categorical
req_sec_websocket_key,2.78%,99.82%,x44RtsJ1amJ5axWmDhS3Gg==,B,categorical
req_sec_websocket_protocol,100.00%,99.82%,vite-hmr,B,categorical
req_sec_websocket_version,100.00%,99.82%,13.0,B,numerical
req_sentry_trace,7.14%,99.93%,76f0ee8c1bf04d629278509da40bd339-ae7eefbdd0de67fd-0,B,categorical
req_upgrade,100.00%,99.82%,websocket,B,categorical
req_upgrade_insecure_requests,100.00%,99.78%,1.0,B,boolean
