http_version,id,layer_type,local_ip,local_port,method,reference,remote_ip,remote_port,req_accept,req_accept_encoding,req_accept_language,req_authorization,req_cache_control,req_cdn_loop,req_cf_connecting_ip,req_cf_ipcountry,req_cf_ray,req_cf_visitor,req_cf_warp_tag_id,req_connection,req_content_length,req_content_type,req_cookie,req_host,req_origin,req_postman_token,req_priority,req_referer,req_sec_ch_ua,req_sec_ch_ua_mobile,req_sec_ch_ua_platform,req_sec_fetch_dest,req_sec_fetch_mode,req_sec_fetch_site,req_user_agent,req_x_forwarded_for,req_x_forwarded_proto,resp_access_control_allow_credentials,resp_access_control_allow_origin,resp_access_control_expose_headers,resp_connection,resp_content_length,resp_content_type,resp_date,resp_server,resp_set_cookie,resp_vary,rule_ids,sql_injection,sql_severity,sql_value,ssrf,ssrf_severity,ssrf_value,status_code,target,targeted_filed,timestamp,txn_id,uri,xss,xss_severity,xss_value
1.1,tHKgIuCZ,,127.0.0.1,1234,GET,,127.0.0.1,37530,*/*,"gzip, br","en-US,en;q=0.5",,,cloudflare; loops=1,175.45.191.19,ID,94c68aeecb38409a-SIN,"{""scheme"":""https""}",a6a578cc-a8d9-48de-99d6-29b29f017ec4,keep-alive,,,refresh_token=g9oIffGEO-_kHhthUIBVgB3Z9hJEqiJh8_xCVcDGGGI=,api-filkompedia.yogarn.my.id,https://filkompedia.yogarn.my.id,,u=4,https://filkompedia.yogarn.my.id/,,,,empty,cors,same-site,Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0,175.45.191.19,https,true,https://filkompedia.yogarn.my.id,Set-Cookie,keep-alive,50,application/json,"Sun, 08 Jun 2025 07:05:46 GMT",nginx/1.26.3,,Origin,,,,,,,,401,,,08/Jun/2025:07:05:46 +0000,174936634654.305020,/api/v1/checkouts/user,,,
1.1,625GoFZO,SINGLE_LAYERED,127.0.0.1,1234,POST,"o1,12o1,2o12,1v14,25t:urlDecodeUnio59,12o59,2o70,1v581,86t:urlDecodeUni",127.0.0.1,37562,*/*,"gzip, br",,,,cloudflare; loops=1,175.45.191.19,ID,94c68d0f48d28b59-HKG,"{""scheme"":""https""}",a6a578cc-a8d9-48de-99d6-29b29f017ec4,keep-alive,86,application/json,refresh_token=Yseq2oYB6QMbzNpt-5bJNil2za2Fg1FV-zt-TK0dBQk=,api-filkompedia.yogarn.my.id,,f18d6e92-6f24-4e4f-9701-16472ac365fc,,,,,,,,,PostmanRuntime/7.43.4,175.45.191.19,https,,,,keep-alive,33,application/json,"Sun, 08 Jun 2025 07:07:13 GMT",nginx/1.26.3,"refresh_token=4C3rMwzGn7lPPpWCIe6dSw1rL4dyTkY-PRbuf2i4wFY=; expires=Sun, 08 Jun 2025 08:23:53 GMT; path=/; HttpOnly; secure; SameSite=None",Origin,10001,True,2,,False,,,200,sql_injection,,08/Jun/2025:07:07:13 +0000,174936643344.611375,/api/v1/auths/login,False,,
1.1,u4sde1wQ,SINGLE_LAYERED,127.0.0.1,1234,POST,"o1,12o1,2o12,1v14,25t:urlDecodeUnio59,12o59,2o70,1v758,86t:urlDecodeUni",127.0.0.1,37562,*/*,"gzip, br",,,,cloudflare; loops=1,175.45.191.19,ID,94c68d2548a98b59-HKG,"{""scheme"":""https""}",a6a578cc-a8d9-48de-99d6-29b29f017ec4,keep-alive,86,application/json,refresh_token=4C3rMwzGn7lPPpWCIe6dSw1rL4dyTkY-PRbuf2i4wFY=; token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySWQiOiJmZWVmMjMxZS05MmRlLTQ4MjgtYjhmYy0yZGU3ZmQ1YmNmOGUiLCJleHAiOjE3NDkzNzE4MzN9.jc-eh7YjHNnNdPSfVozLnrVWlQZL1tXkAev-90-UY-c,api-filkompedia.yogarn.my.id,,229db7c7-5f33-4859-a448-dae65d5c520a,,,,,,,,,PostmanRuntime/7.43.4,175.45.191.19,https,,,,keep-alive,33,application/json,"Sun, 08 Jun 2025 07:07:16 GMT",nginx/1.26.3,"refresh_token=ppJL0lz0UrNThJVhFVAA9pjsZInoiuSC7-ZLpCdmyMg=; expires=Sun, 08 Jun 2025 08:23:56 GMT; path=/; HttpOnly; secure; SameSite=None",Origin,10001,True,2,,False,,,200,sql_injection,,08/Jun/2025:07:07:16 +0000,174936643611.447823,/api/v1/auths/login,False,,
1.1,FQylZXhA,SINGLE_LAYERED,127.0.0.1,1234,POST,"o1,12o1,2o12,1v14,13t:urlDecodeUnio59,12o59,2o70,1v758,74t:urlDecodeUni",127.0.0.1,37562,*/*,"gzip, br",,,,cloudflare; loops=1,175.45.191.19,ID,94c68d420d3a8b59-HKG,"{""scheme"":""https""}",a6a578cc-a8d9-48de-99d6-29b29f017ec4,keep-alive,74,application/json,refresh_token=ppJL0lz0UrNThJVhFVAA9pjsZInoiuSC7-ZLpCdmyMg=; token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySWQiOiJmZWVmMjMxZS05MmRlLTQ4MjgtYjhmYy0yZGU3ZmQ1YmNmOGUiLCJleHAiOjE3NDkzNzE4MzZ9.vZSgUdZ3zFhm4uH-iOvMjtuz-MaaYpPM026sWUmjrpw,api-filkompedia.yogarn.my.id,,922265b5-9881-400c-b80e-37114896cb6a,,,,,,,,,PostmanRuntime/7.43.4,175.45.191.19,https,,,,keep-alive,62,application/json,"Sun, 08 Jun 2025 07:07:21 GMT",nginx/1.26.3,,Origin,10001,True,2,,False,,,401,sql_injection,,08/Jun/2025:07:07:21 +0000,174936644172.813223,/api/v1/auths/login,False,,
1.1,lR82yFF4,SINGLE_LAYERED,127.0.0.1,1234,POST,"o1,12o1,2o12,1v14,16t:urlDecodeUnio59,12o59,2o70,1v758,77t:urlDecodeUni",127.0.0.1,37562,*/*,"gzip, br",,,,cloudflare; loops=1,175.45.191.19,ID,94c68d65be578b59-HKG,"{""scheme"":""https""}",a6a578cc-a8d9-48de-99d6-29b29f017ec4,keep-alive,77,application/json,refresh_token=ppJL0lz0UrNThJVhFVAA9pjsZInoiuSC7-ZLpCdmyMg=; token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySWQiOiJmZWVmMjMxZS05MmRlLTQ4MjgtYjhmYy0yZGU3ZmQ1YmNmOGUiLCJleHAiOjE3NDkzNzE4MzZ9.vZSgUdZ3zFhm4uH-iOvMjtuz-MaaYpPM026sWUmjrpw,api-filkompedia.yogarn.my.id,,28e84ccd-7edc-4ce7-80b6-50ff36f08b58,,,,,,,,,PostmanRuntime/7.43.4,175.45.191.19,https,,,,keep-alive,64,application/json,"Sun, 08 Jun 2025 07:07:27 GMT",nginx/1.26.3,,Origin,10001,True,2,,False,,,403,sql_injection,,08/Jun/2025:07:07:27 +0000,174936644793.522902,/api/v1/auths/login,False,,
1.1,FIL3VsRP,,127.0.0.1,1234,GET,,127.0.0.1,37562,*/*,"gzip, br","en-US,en;q=0.5",,,cloudflare; loops=1,175.45.191.19,ID,94c68e06398a409a-SIN,"{""scheme"":""https""}",a6a578cc-a8d9-48de-99d6-29b29f017ec4,keep-alive,,,refresh_token=wFNqE1m1xm9xK7RSAguRCpsPQcy2S8Plp9CRajPjiS0=,api-filkompedia.yogarn.my.id,https://filkompedia.yogarn.my.id,,u=4,https://filkompedia.yogarn.my.id/,,,,empty,cors,same-site,Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0,175.45.191.19,https,true,https://filkompedia.yogarn.my.id,Set-Cookie,keep-alive,50,application/json,"Sun, 08 Jun 2025 07:07:52 GMT",nginx/1.26.3,,Origin,,,,,,,,401,,,08/Jun/2025:07:07:52 +0000,174936647265.696897,/api/v1/books?search=&page=1&size=9,,,
1.1,22jwnCbt,SINGLE_LAYERED,127.0.0.1,1234,POST,"o61,5v951,89t:urlDecodeUni",127.0.0.1,36782,*/*,"gzip, br","en-US,en;q=0.5",,,cloudflare; loops=1,175.45.191.19,ID,94c68edc7ea0409a-SIN,"{""scheme"":""https""}",a6a578cc-a8d9-48de-99d6-29b29f017ec4,keep-alive,89,application/json,refresh_token=9XItcglGrUEiYDyOuRS36WHjAdFtK-Sii61uyE5Kx9g=; token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySWQiOiJmZWVmMjMxZS05MmRlLTQ4MjgtYjhmYy0yZGU3ZmQ1YmNmOGUiLCJleHAiOjE3NDkzNzE4NzJ9.pnaHMqRu2WOowKpKIsMuhQ-v7w8kUQd0kVLN5DwzaGo,api-filkompedia.yogarn.my.id,https://filkompedia.yogarn.my.id,,u=0,https://filkompedia.yogarn.my.id/,,,,empty,cors,same-site,Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0,175.45.191.19,https,true,https://filkompedia.yogarn.my.id,Set-Cookie,keep-alive,33,application/json,"Sun, 08 Jun 2025 07:08:26 GMT",nginx/1.26.3,,Origin,10002,False,,,False,,,200,xss,,08/Jun/2025:07:08:26 +0000,174936650675.106513,/api/v1/comments,True,2,
1.1,ZANJ5Har,SINGLE_LAYERED,127.0.0.1,1234,POST,"o61,4v951,96t:urlDecodeUni",127.0.0.1,36782,*/*,"gzip, br","en-US,en;q=0.5",,,cloudflare; loops=1,175.45.191.19,ID,94c68f1d0fa8409a-SIN,"{""scheme"":""https""}",a6a578cc-a8d9-48de-99d6-29b29f017ec4,keep-alive,96,application/json,refresh_token=9XItcglGrUEiYDyOuRS36WHjAdFtK-Sii61uyE5Kx9g=; token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySWQiOiJmZWVmMjMxZS05MmRlLTQ4MjgtYjhmYy0yZGU3ZmQ1YmNmOGUiLCJleHAiOjE3NDkzNzE4NzJ9.pnaHMqRu2WOowKpKIsMuhQ-v7w8kUQd0kVLN5DwzaGo,api-filkompedia.yogarn.my.id,https://filkompedia.yogarn.my.id,,u=0,https://filkompedia.yogarn.my.id/,,,,empty,cors,same-site,Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0,175.45.191.19,https,true,https://filkompedia.yogarn.my.id,Set-Cookie,keep-alive,33,application/json,"Sun, 08 Jun 2025 07:08:37 GMT",nginx/1.26.3,,Origin,10002,False,,,False,,,200,xss,,08/Jun/2025:07:08:37 +0000,174936651715.308110,/api/v1/comments,True,2,
1.1,dkGyCMk5,SINGLE_LAYERED,127.0.0.1,1234,POST,"o61,34v952,114t:urlDecodeUni",127.0.0.1,36782,*/*,"gzip, br","en-US,en;q=0.5",,,cloudflare; loops=1,175.45.191.19,ID,94c68fcb6c38409a-SIN,"{""scheme"":""https""}",a6a578cc-a8d9-48de-99d6-29b29f017ec4,keep-alive,114,application/json,refresh_token=9XItcglGrUEiYDyOuRS36WHjAdFtK-Sii61uyE5Kx9g=; token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySWQiOiJmZWVmMjMxZS05MmRlLTQ4MjgtYjhmYy0yZGU3ZmQ1YmNmOGUiLCJleHAiOjE3NDkzNzE4NzJ9.pnaHMqRu2WOowKpKIsMuhQ-v7w8kUQd0kVLN5DwzaGo,api-filkompedia.yogarn.my.id,https://filkompedia.yogarn.my.id,,u=0,https://filkompedia.yogarn.my.id/,,,,empty,cors,same-site,Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0,175.45.191.19,https,true,https://filkompedia.yogarn.my.id,Set-Cookie,keep-alive,33,application/json,"Sun, 08 Jun 2025 07:09:05 GMT",nginx/1.26.3,,Origin,10002,False,,,False,,,200,xss,,08/Jun/2025:07:09:05 +0000,174936654564.326712,/api/v1/comments,True,2,
1.1,b2lrwxQw,,127.0.0.1,1234,GET,,127.0.0.1,47788,*/*,"gzip, br","en-US,en;q=0.5",,,cloudflare; loops=1,175.45.191.19,ID,94c6961a3e09fd9b-SIN,"{""scheme"":""https""}",a6a578cc-a8d9-48de-99d6-29b29f017ec4,keep-alive,,,refresh_token=9XItcglGrUEiYDyOuRS36WHjAdFtK-Sii61uyE5Kx9g=,api-filkompedia.yogarn.my.id,https://filkompedia.yogarn.my.id,,u=4,https://filkompedia.yogarn.my.id/,,,,empty,cors,same-site,Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0,175.45.191.19,https,true,https://filkompedia.yogarn.my.id,Set-Cookie,keep-alive,50,application/json,"Sun, 08 Jun 2025 07:13:23 GMT",nginx/1.26.3,,Origin,,,,,,,,401,,,08/Jun/2025:07:13:23 +0000,174936680319.957020,/api/v1/books?search=&page=1&size=9,,,
