,id,timestamp,layer_type,method,local_port,remote_port,req_cf_ray,req_content_length,resp_content_length,resp_vary,status_code,target
0,tHKgIuCZ,08/Jun/2025:07:05:46 +0000,,GET,1234,37530,94c68aeecb38409a-SIN,,50,Origin,401,ssrf
1,625GoFZO,08/Jun/2025:07:07:13 +0000,SINGLE_LAYERED,POST,1234,37562,94c68d0f48d28b59-HKG,86.0,33,Origin,200,sql_injection
2,u4sde1wQ,08/Jun/2025:07:07:16 +0000,SINGLE_LAYERED,POST,1234,37562,94c68d2548a98b59-HKG,86.0,33,Origin,200,sql_injection
3,FQylZXhA,08/Jun/2025:07:07:21 +0000,SINGLE_LAYERED,POST,1234,37562,94c68d420d3a8b59-HKG,74.0,62,Origin,401,sql_injection
4,lR82yFF4,08/Jun/2025:07:07:27 +0000,SINGLE_LAYERED,POST,1234,37562,94c68d65be578b59-HKG,77.0,64,Origin,403,sql_injection
5,FIL3VsRP,08/Jun/2025:07:07:52 +0000,,GET,1234,37562,94c68e06398a409a-SIN,,50,Origin,401,ssrf
6,22jwnCbt,08/Jun/2025:07:08:26 +0000,SINGLE_LAYERED,POST,1234,36782,94c68edc7ea0409a-SIN,89.0,33,Origin,200,xss
7,ZANJ5Har,08/Jun/2025:07:08:37 +0000,SINGLE_LAYERED,POST,1234,36782,94c68f1d0fa8409a-SIN,96.0,33,Origin,200,xss
8,dkGyCMk5,08/Jun/2025:07:09:05 +0000,SINGLE_LAYERED,POST,1234,36782,94c68fcb6c38409a-SIN,114.0,33,Origin,200,xss
9,b2lrwxQw,08/Jun/2025:07:13:23 +0000,,GET,1234,47788,94c6961a3e09fd9b-SIN,,50,Origin,401,ssrf
10,x7slJScq,08/Jun/2025:07:14:09 +0000,,PATCH,1234,52402,94c69736ce8bfd9b-SIN,190.0,118,Origin,500,ssrf
11,a0AfFkWq,08/Jun/2025:07:14:13 +0000,,PATCH,1234,52402,94c697550f0afd9b-SIN,190.0,118,Origin,500,ssrf
12,Ummh6Wkg,08/Jun/2025:07:14:54 +0000,,PATCH,1234,52402,94c6984f89cefd9b-SIN,188.0,50,Origin,401,ssrf
13,i1ylaHVV,08/Jun/2025:07:16:31 +0000,SINGLE_LAYERED,POST,1234,59570,94c69aae1eb2a1af-SIN,77.0,64,Origin,403,sql_injection
14,cgfI3XMS,08/Jun/2025:07:16:37 +0000,SINGLE_LAYERED,POST,1234,59570,94c69ad44a20a1af-SIN,77.0,64,Origin,403,sql_injection
15,v834AMtO,08/Jun/2025:07:16:41 +0000,,GET,1234,59570,94c69aec4e90fd9b-SIN,,50,Origin,401,ssrf
16,QGk4DgBt,08/Jun/2025:07:16:46 +0000,SINGLE_LAYERED,POST,1234,59570,94c69b0ddc3fa1af-SIN,541.0,33,Origin,200,BENIGN
17,f7cFO5ly,08/Jun/2025:07:16:50 +0000,SINGLE_LAYERED,POST,1234,59570,94c69b2799cda1af-SIN,541.0,33,Origin,200,BENIGN
18,lOFmwZEp,08/Jun/2025:07:16:52 +0000,SINGLE_LAYERED,POST,1234,59570,94c69b35a9f1a1af-SIN,541.0,33,Origin,200,BENIGN
19,fGtpanBz,08/Jun/2025:07:17:11 +0000,SINGLE_LAYERED,PATCH,1234,59570,94c69bab7e59fd9b-SIN,445.0,33,Origin,200,xss
20,z65Y4r37,08/Jun/2025:07:17:32 +0000,SINGLE_LAYERED,POST,1234,35630,94c69c2f6d0da1af-SIN,541.0,58,Origin,404,BENIGN
21,1t1EZA5E,08/Jun/2025:07:21:24 +0000,,POST,1234,45162,94c6a1da1f32e2e7-HKG,42.0,62,Origin,401,ssrf
22,HhRenAaW,08/Jun/2025:07:23:23 +0000,,POST,1234,48456,94c6a4c099d609e8-HKG,48.0,62,Origin,401,ssrf
23,ZpJTOVI3,08/Jun/2025:07:23:24 +0000,SINGLE_LAYERED,POST,1234,48456,94c6a4c49cf58613-HKG,48.0,62,Origin,401,sql_injection
24,jAqKxzHy,08/Jun/2025:07:24:41 +0000,SINGLE_LAYERED,POST,1234,44506,94c6a6a36c7bd0a1-HKG,77.0,64,Origin,403,sql_injection
25,sIBPQGbh,08/Jun/2025:07:24:56 +0000,,POST,1234,44506,94c6a7067f2d097c-HKG,48.0,64,Origin,422,ssrf
26,w3JhBuDk,08/Jun/2025:07:25:01 +0000,SINGLE_LAYERED,POST,1234,44506,94c6a7209d2909e4-HKG,48.0,64,Origin,422,sql_injection
27,hWB40S5j,08/Jun/2025:07:25:08 +0000,SINGLE_LAYERED,POST,1234,44506,94c6a74fff15d0a1-HKG,541.0,58,Origin,404,BENIGN
28,cu1ZtGVk,08/Jun/2025:07:25:29 +0000,SINGLE_LAYERED,POST,1234,44506,94c6a7d3c93cd0a1-HKG,541.0,58,Origin,404,BENIGN
