layer_type,method,local_port,remote_port,req_content_length,resp_content_length,resp_vary,status_code,target,content_length_ratio,large_req,large_resp
Unknown,GET,1234,37530,0,50,Origin,401,ssrf,0.0,0,0
SINGLE_LAYERED,POST,1234,37562,86,33,Origin,200,sql_injection,0.38372093023255816,0,0
SINGLE_LAYERED,POST,1234,37562,86,33,Origin,200,sql_injection,0.38372093023255816,0,0
SINGLE_LAYERED,POST,1234,37562,74,62,Origin,401,sql_injection,0.8378378378378378,0,1
SINGLE_LAYERED,POST,1234,37562,77,64,Origin,403,sql_injection,0.8311688311688312,0,1
Unknown,GET,1234,37562,0,50,Origin,401,ssrf,0.0,0,0
SINGLE_LAYERED,POST,1234,36782,89,33,Origin,200,xss,0.3707865168539326,0,0
SINGLE_LAYERED,POST,1234,36782,96,33,Origin,200,xss,0.34375,0,0
SINGLE_LAYERED,POST,1234,36782,114,33,Origin,200,xss,0.2894736842105263,0,0
Unknown,GET,1234,47788,0,50,Origin,401,ssrf,0.0,0,0
Unknown,PATCH,1234,52402,190,118,Origin,500,ssrf,0.6210526315789474,1,1
Unknown,PATCH,1234,52402,190,118,Origin,500,ssrf,0.6210526315789474,1,1
Unknown,PATCH,1234,52402,188,50,Origin,401,ssrf,0.26595744680851063,1,0
SINGLE_LAYERED,POST,1234,59570,77,64,Origin,403,sql_injection,0.8311688311688312,0,1
SINGLE_LAYERED,POST,1234,59570,77,64,Origin,403,sql_injection,0.8311688311688312,0,1
Unknown,GET,1234,59570,0,50,Origin,401,ssrf,0.0,0,0
SINGLE_LAYERED,POST,1234,59570,541,33,Origin,200,BENIGN,0.06099815157116451,1,0
SINGLE_LAYERED,POST,1234,59570,541,33,Origin,200,BENIGN,0.06099815157116451,1,0
SINGLE_LAYERED,POST,1234,59570,541,33,Origin,200,BENIGN,0.06099815157116451,1,0
SINGLE_LAYERED,PATCH,1234,59570,445,33,Origin,200,xss,0.07415730337078652,1,0
SINGLE_LAYERED,POST,1234,35630,541,58,Origin,404,BENIGN,0.10720887245841035,1,1
Unknown,POST,1234,45162,42,62,Origin,401,ssrf,1.4761904761904763,0,1
Unknown,POST,1234,48456,48,62,Origin,401,ssrf,1.2916666666666667,0,1
SINGLE_LAYERED,POST,1234,48456,48,62,Origin,401,sql_injection,1.2916666666666667,0,1
SINGLE_LAYERED,POST,1234,44506,77,64,Origin,403,sql_injection,0.8311688311688312,0,1
Unknown,POST,1234,44506,48,64,Origin,422,ssrf,1.3333333333333333,0,1
SINGLE_LAYERED,POST,1234,44506,48,64,Origin,422,sql_injection,1.3333333333333333,0,1
SINGLE_LAYERED,POST,1234,44506,541,58,Origin,404,BENIGN,0.10720887245841035,1,1
SINGLE_LAYERED,POST,1234,44506,541,58,Origin,404,BENIGN,0.10720887245841035,1,1
